id,title_original,title_original_lang,title_en,title_ja,year_made,content_type,country_origin
1097,The Deer Hunter,en,,ディア・ハンター,1978,Film,
1098,The Devil at 4 O'Clock,en,,４時の悪魔,1961,Film,
1099,The Distinguished Gentleman,en,,ホワイトハウス狂騒曲,1992,Film,
1100,The Dogs of War,en,,戦争の犬たち [Sensō no inu-tachi],1980,Film,
1101,The Dresser,en,,ドレッサー,1983,Film,
1102,The Drunken Master II,en,,酔拳２,1994,Film,
1103,The Empire Strikes Back,en,,スター・ウォーズ/帝国の逆襲,1980,Film,
1104,The Fall of the Roman Empire,en,,ローマ帝国の滅亡,1964,Film,
1105,The Fisher King,en,,フイッシャーキング,1991,Film,
1106,The Fly,en,,ザ・フライ [Za furai],1986,Film,
1107,The French Lieutenant's Woman,en,,フランス軍中尉の女,1981,Film,
1108,The Freshman,en,,ドン・サバティーニ [Don Sabatīni],1990,Film,
1109,The Fugitive,en,,逃亡者,1993,Film,
1110,The General,en,,キートンの大列車強盗,1926,Film,
1111,The Getaway,en,,ゲッタウェイ,1972,Film,
1112,The Gold Rush,en,,黄金狂時代,1925,Film,
1113,The Golden Voyage of Sinbad,en,,シンドバッド黄金の航海,1973,Film,
1114,"The Good, The Bad and the Ugly",en,,続・夕陽のガンマン [Zoku: Yūhi no ganman],1966,Film,
1115,The Goodbye Girl,en,,グッバイガール,1977,Film,
1116,The Gorgon,en,,妖女ゴーゴン,1964,Film,
1117,The Great Escape,en,,大脱走,1963,Film,
1118,The Guns of Navarone,en,,ナバロンの要塞,1961,Film,
1119,The Hand That Rocks the Cradle,en,,ゆりかごを揺らす手,1992,Film,
1120,The Heavenly Kid,en,,ヘブンリー・キッド,1985,Film,
1121,The Hidden,en,,ヒドゥン,1987,Film,
1122,The Horsemen,en,,ホースメン,1971,Film,
1123,The House of the Spirits,en,,愛と精霊の家 [Ai to seirei no ie],1993,Film,
1124,The Incredible Melting Man,en,,溶解人間,1977,Film,
1125,The Inner Circle,en,,インナー・サークル 映写技師は見ていた,1991,Film,
1126,The Inspector General,en,,ダニー・ケイの検察官閣下,1949,Film,
1127,The Jolson Story,en,,ジョルスン物語 [Jorusun monogatari],1946,Film,
1128,The Jungle Book,en,,ジャングル・ブック,1967,Film,
1129,The Karate Kid,en,,ベスト・キッド,1984,Film,
1130,The Karate Kid Part II,en,,ベスト・キッド２,1986,Film,
1131,The Karate Kid Part III,en,,ベスト・キッド３,1989,Film,
1132,The King and I,en,,王様と私 [Ōsama to watashi],1956,Film,
1133,The Last Boy Scout,en,,ラスト・ボーイスカウト,1991,Film,
1134,The Last of the Finest [Blue Heat],en,,ブルーヒート,1990,Film,
1135,The Last Time I Saw Paris,en,,雨の朝パリに死す,1954,Film,
1136,The Last Waltz,en,,ザ・バンド/ラスト・ワルツ,1978,Film,
1137,The Legend of Billie Jean,en,,ビリージーンの伝説,1985,Film,
1138,The Lion King,en,,ライオン・キング [Raion kingu],1994,Film,
1139,The Little Mermaid,en,,リトル・マーメイド,1989,Film,
1140,The Living Daylights,en,,007／リビング・デイライツ,1987,Film,
1141,The Longest Day,en,,史上最大の作戦,1962,Film,
1142,The Magnificent Seven,en,,荒野の七人,1960,Film,
1143,The Maltese Falcon,en,,マルタの鷹 [Maruta no taka],1941,Film,
1144,The Man with the Golden Gun,en,,007／黄金銃を持つ男,1974,Film,
1145,The Mighty Ducks [aka Champions],en,,飛べないアヒル,1992,Film,
1146,The Miracle Worker,en,,奇跡の人 [Kiseki no hito],1962,Film,
1147,The NeverEnding Story,en,,ネバーエンディング・ストーリー [Nebāendingu sutōrī],1984,Film,
1148,The NeverEnding Story II,en,,ネバーエンディング・ストーリー 第２章,1990,Film,
1149,The NeverEnding Story III,en,,ネバーエンディング・ストーリー３,1994,Film,
1150,The New Adventures of Pippi Longstocking,en,,長くつ下ピッピの冒険物語,1988,Film,
1151,The Night Porter,en,,愛の嵐,1974,Film,
1152,The Odessa File,en,,オデッサ・ファイル,1974,Film,
1153,The Package,en,,ザ・パッケージ/暴かれた陰謀,1989,Film,
1154,The Pelican Brief,en,,ペリカン文書,1993,Film,
1155,The Pink Panther,en,,ピンクの豹,1963,Film,
1156,The Pink Panther Strikes Again,en,,ピンク・パンサー３,1976,Film,
1157,The Player,en,,ザ・プレイヤー,1992,Film,
1158,The Poseidon Adventure,en,,ポセイドン・アドベンチャー,1972,Film,
1159,The Prince and the Pauper,en,,ミッキーの王子と少年,1990,Film,
1160,The Prince and the Pauper,en,,放浪の王子 [Hōrō no ōji],1937,Film,
1161,The Prince of Tides,en,,サウス・キャロライナ/愛と追憶の彼方,1991,Film,
1162,The Purple Rose of Cairo,en,,カイロの紫のバラ,1985,Film,
1163,The Rescuers Down Under,en,,ビアンカの大冒険 ゴールデン・イーグルを救え!,1990,Film,
1164,The Return of Jafar/ アラジン ジャファーの逆襲,ja,,The Return of Jafar/ アラジン ジャファーの逆襲,1994,Film,
1165,The Rocketeer,en,,ロケッティア,1991,Film,
1166,The Rookie,en,,ルーキー,1990,Film,
1167,The Sea Hawk,en,,シーホーク,1940,Film,
1168,The Seventh Sign,en,,第七の予言 [Dainana no yogen],1988,Film,
1169,The Shaolin Temple,en,,少林寺,1982,Film,
1170,The Shawshank Redemption,en,,ショーシャンクの空に,1994,Film,
1171,The Silence of the Lambs,en,,羊たちの沈黙,1991,Film,
1172,The Snowman,en,,スノーマン,1982,Film,
1173,The Sound of Music,en,,サウンド・オブ・ミュージック,1965,Film,
1174,The Specialist,en,,スペシャリスト,1994,Film,
1175,The Spy Who Loved Me,en,,007／私を愛したスパイ,1977,Film,
1176,The Sword in the Stone,en,,王様の剣,1963,Film,
1177,The Taming of the Shrew,en,,じゃじゃ馬ならし,1967,Film,
1178,The Terminator,en,,ターミネーター,1984,Film,
1179,The Thomas Crown Affair,en,,華麗なる賭け,1968,Film,
1180,The Three Caballeros,en,,三人の騎士,1944,Film,
1181,The Three Musketeers,en,,三銃士,1993,Film,
1182,The Toy,en,,おもちゃがくれた愛,1982,Film,
1183,The Trial,en,,審判 [Shinpan],1962,Film,
1184,The War of the Roses,en,,ローズ家の戦争,1989,Film,
1185,The Way We Were,en,,追憶,1973,Film,
1186,The Wind and the Lion,en,,風とライオン,1975,Film,
1187,The Witches of Eastwick,en,,イーストウィックの魔女たち,1987,Film,
1188,The Woman in Red,en,,ウーマン・イン・レッド,1984,Film,
1189,The Wrong Man,en,,間違えられた男,1956,Film,
1190,The Yakuza,en,,ザ・ヤクザ,1974,Film,
1191,Three Amigos,en,,サボテン・ブラザース,1986,Film,
1192,Throw Momma From the Train,en,,鬼ママを殺せ,1987,Film,
1193,Thunderball,en,,007／サンダーボール作戦,1965,Film,
1194,Thunderbolt and Lightfoot,en,,サンダーボルト,1974,Film,
1195,Timebomb,en,,タイムボンバー,1991,Film,
1196,"To Sir, With Love",en,,いつも心に太陽を,1967,Film,
1197,Tombstone,en,,トゥームストーン,1993,Film,
1198,Tommy,en,,ロック・オペラ トミー [Rokku opera Tomī],1975,Film,
1199,Tootsie,en,,トッツィー,1982,Film,
1200,Total Recall,en,,トータル・リコール,1990,Film,
1201,True Lies,en,,トゥルーライズ [Turūraizu],1994,Film,
1202,True Romance,en,,トゥルー・ロマンス,1993,Film,
1203,Twilight Zone: The Movie,en,,トワイライトゾーン,1983,Film,
1204,Twin Dragons [Twin Dragon],en,,ツイン・ドラゴン [Tsuin doragon],1992,Film,
1205,Twin Peaks,en,,ツイン・ピークス,1989,Film,
1206,Twin Peaks: Fire Walk With Me,en,,ツイン・ピークス/ローラ・パーマー最期の7日間,1992,Film,
1207,Un Dimanche à La Campagne [A Sunday in the Country],fr,,田舎の日曜日,1984,Film,
1208,Under Siege,en,,沈黙の戦艦,1992,Film,
1209,Unforgiven,en,,許されざる者,1992,Film,
1210,Universal Soldier,en,,ユニバーサル・ソルジャー,1992,Film,
1211,Used Cars,en,,ユーズド・カー,1980,Film,
1212,Vibes,en,,バイブス秘宝の謎,1988,Film,
1213,Violets Are Blue,en,,すみれは、ブルー,1986,Film,
1214,Wait Until Dark,en,,暗くなるまで待って,1967,Film,
1215,Wall Street,en,,ウォール街,1987,Film,
1216,WarGames,en,,ウォー・ゲーム,1983,Film,
1217,Waterloo,en,,ワーテルロー,1970,Film,
1218,West Side Story,en,,ウエスト・サイド物語,1961,Film,
1219,What? [Diary of Forbidden Dreams],en,,ポランスキーの 欲望の館,1972,Film,
1220,What's Eating Gilbert Grape,en,,ギルバート・グレイプ,1993,Film,
1221,When A Man Loves a Woman,en,,男が女を愛する時,1994,Film,
1222,When I Fall in Love [Everybody's All-American],en,,熱き愛に時は流れて,1988,Film,
1223,White Hunter Black Heart,en,,ホワイトハンター ブラックハート,1990,Film,
1224,White Nights,en,,ホワイトナイッ,1985,Film,
1225,White Water Summer,en,,グレート・ストリーム,1987,Film,
1226,Who Framed Roger Rabbit?,en,,ロジャー・ラビット,1988,Film,
1227,Willow,en,,ウィロー,1988,Film,
1228,Wings of Desire [Der Himmel über Berlin],de,,ベルリン・天使の詩,1987,Film,
1229,Winnie the Pooh and a Day for Eeyore,en,,プーさんとイーヨーのいち日,1983,Film,
1230,Winnie the Pooh and Christmas Too,en,,プーさんのメリークリスマス,1991,Film,
1231,Wolf,en,,ウルフ,1994,Film,
1232,Working Girl,en,,ワーキング・ガール,1988,Film,
1233,Wyatt Earp,en,,ワイアット・アープ,1994,Film,
1234,Yasujiro Ozu Sanmanoaji Ryu Chisyu [秋刀魚の味],ja,,Yasujiro Ozu Sanmanoaji Ryu Chisyu [秋刀魚の味],1962,Film,
1235,You Only Live Twice,en,,007は二度死ぬ,1967,Film,
1236,Youngblood,en,,栄光のエンブレム,1986,Film,
1237,Z,en,,Z,1969,Film,
1238,Zombie,en,,サンゲリア,1979,Film,
1239,Zombiethon,en,,ゾンビーズ 生ける屍の群れ,1986,Film,
1240,The Terror,en,,古城の亡霊,1963,Film,
1241,Angel and the Badman,en,,拳銃無宿,1947,Film,
1242,Africa Screams,en,,凸凹探険隊,1949,Film,
1243,His Girl Friday,en,,レディは敏腕記者,1940,Film,
1244,The Postman Always Rings Twice,en,,郵便配達は二度ベルを鳴らす,1981,Film,
1245,The Man With the Golden Arm,en,,黄金の腕,1955,Film,
1246,The James Dean Story,en,,ジェームス・ディーン物語,1957,Film,
1247,The Little Princess,en,,シャーリー・テンプルちゃんの小公女,1939,Film,
1248,Of Human Bondage,en,,人間の絆,1934,Film,
1249,The Believers,en,,サンタリア 魔界怨霊,1987,Film,
1250,Strangler vs. Strangler,en,,ストラングラー 猟奇マザコン絞殺魔,1984,Film,
1251,The Next One,en,,ネクストワン 未来からの使者,1984,Film,
1252,Best Seller,en,,殺しのベストセラー,1987,Film,
1253,The Principal,en,,暴力教室'88,1987,Film,
1254,Suikoden [Warriors of the Sung Dynasty],en,,水滸伝,1981,Film,
1255,Dangerous Orphans,en,,デンジャラス・オーファン／危険な逃走,1986,Film,
1256,The Dead Pool,en,,ダーティハリー5 [Dirty Harry 5],1988,Film,
1257,醉俠蘇乞兒,zh,Story of Drunken Master,女カンフー 魔柳拳,1979,Film,
1258,神龍小虎闖江湖,zh,Call Me Dragon,帰って来たドラゴン,1974,Film,
1259,師妹出馬,zh,Woman Avenger,カンフー・シスター 麗竜拳,1979,Film,
1260,茅山道人,zh,Demon Strike,奇門遁甲/吸血拳,1973,Film,
1261,臭頭小子,zh,Filthy Guy,デブゴンの太閤記,1972,Film,
1262,怪招軟皮蛇,zh,Mad Mad Kung Fu,マッドカンフー 地獄拳,1980,Film,
1263,身不由己,zh,The Victim,斗え!デブゴン,1979,Film,
1264,Someone to Watch Over Me,en,,誰かに見られてる,1987,Film,
1265,Suspect,en,,容疑者,1987,Film,
1266,Nothing in Common,en,,恋のじゃま者,1986,Film,
1267,Awakenings,en,,レナードの朝,1990,Film,
1268,Roxanne,en,,愛しのロクサーヌ,1987,Film,
1269,State of Grace,en,,ステート・オブ・グレース,1990,Film,
1270,Police Academy 5: Assignment Miami Beach,en,,ポリスアカデミー5／マイアミ特別勤務,1988,Film,
1271,Home of the Brave: A Film by Laurie Anderson,en,,ローリー・アンダーソン 0&1,1986,Film,
1272,The Glass Menagerie,en,,ガラスの動物園,1987,Film,
1273,Amazing Grace and Chuck [aka Silent Voice],en,,,1987,Film,
1274,And Justice For All,en,,ジャスティス,1979,Film,
1275,Perfect,en,,パーフェクト,1985,Film,
1276,Escape to Freedom /,en,,,1983,Film,
1277,Offret [The Sacrifice] /,en,,,1986,Film,
1278,I Give My All,en,,みんなあげちゃう♡ [Minna Agechau],1987,Film,Japan
1279,Jazz on a Summer's Day,en,,真夏の夜のジャズ,1959,Film,
1280,The Misfits,en,,荒馬と女,1961,Film,
1281,Pelle the Conqueror [Pelle Erobreren],en,,ペレ,1987,Film,
1282,My Life as a Dog [Mitt liv som hund],en,,マイライフ・アズ・ア・ドッグ,1985,Film,
1283,A Distant Cry From Spring,en,,遙かなる山の呼び声,1980,Film,Japan
1284,A House in the Quarter,en,,五番町夕霧楼 [Gobancho yugiriro],1963,Film,Japan
1285,A Sign Days,en,,Aサインデイズ,1989,Film,Japan
1286,A Warm Misty Night,en,,夜霧よ今夜も有難う,1967,Film,Japan
1287,"Ah, Single (Chongar)",en,,ああ独身 (チョンガー),1970,Film,Japan
1288,All Under the Moon,en,,月はどっちに出ている,1993,Film,Japan
1289,Amagi Pass,en,,天城越え [Amagi-goe],1983,Film,Japan
1290,An Autumn Afternoon,en,,秋刀魚の味 [Sanma no Aji],1962,Film,Japan
1291,Atami Sastujin Jiken,en,,熱海殺人事件,1986,Film,Japan
1292,Barrow Gang BC,en,,バロー・ギャングBC,1985,Film,Japan
1293,Beyond the Green Hills,en,,青い山脈 [Aoi Sanmyaku],1949,Film,Japan
1294,Blackmail is My Life,en,,恐喝こそわが人生,1968,Film,Japan
1295,Buddha,en,,釈迦 [Shaka],1961,Film,Japan
1296,Carmen Comes Home,en,,カルメン故郷に帰る [Karumen kokyō ni kaeru],1951,Film,Japan
1297,Carol,en,,,1990,Film,Japan
1298,Crazed Fruit,en,,狂った果実 [Kurutta kajitsu],1956,Film,Japan
1299,Daimajin,en,,大魔神,1966,Film,Japan
1300,Daimajin 2: Return of Daimajin,en,,大魔神怒る,1966,Film,Japan
1301,Daimajin 3: Wrath of Daimajin,en,,大魔神逆襲 [Daimajin gyakushū],1966,Film,Japan
1302,Demon City Shinjuku,en,,魔界都市〈新宿〉,1988,Film,Japan
1303,Dog of Fortune,en,,黄金の犬 [Kogane no Inu],1979,Film,Japan
1304,Dotonbori River [aka Lovers Lost],en,,道頓堀川,1982,Film,Japan
1305,Dreams,en,,夢,1990,Film,Japan
1306,Equinox Flower,en,,彼岸花 [Higanbana],1958,Film,Japan
1307,Fall Guy,en,,蒲田行進曲 [Kamata Kōshin-kyoku],1982,Film,Japan
1308,Fancy Dance,en,,ファンシィダンス [Fanshi dansu],1989,Film,Japan
1309,Final Take,en,,キネマの天地,1986,Film,Japan
1310,Free and Easy [Fishing Fool's Diary],en,,釣りバカ日誌 [Tsuribaka Nisshi],1988,Film,Japan
1311,Free and Easy 5 [Fishing Fool's Diary 5],en,,釣りバカ日誌5 [Tsuribaka Nisshi 5],1992,Film,Japan
1312,Free and Easy Special [Fishing Fool's Diary Special],en,,釣りバカ日誌スペシャル [Tsuribaka Nisshi Special],1994,Film,Japan
1313,Gate of Hell,en,,地獄門 [Jigokumon],1953,Film,Japan
1314,Ginza's Story,en,,銀座の恋の物語 [Ginza no koi no monogatari],1962,Film,Japan
1315,Good Luck Travel,en,,開運旅行 [Kaiun ryokō],1971,Film,Japan
1316,Harimao,en,,ハリマオ,1989,Film,Japan
1317,Her Brother,en,,おとうと [Otōto],1960,Film,Japan
1318,Hissatsu: Sure Death,en,,必殺！The Hissatsu,1984,Film,Japan
1319,Hole in the Pants,en,,パンツの穴,1984,Film,Japan
1320,Home from the Sea,en,,故郷 [Furusato],1972,Film,Japan
1321,Hope and Pain (aka Downtown Heroes),en,,ダウンタウンヒーローズ [Dauntaun Hiirōzu],1988,Film,Japan
1322,Hôtel des Amériques,fr,Hotel America,海辺のホテルにて,1981,Film,Japan
1323,I Am Waiting,en,,俺は待ってるぜ [Ore wa matteru ze],1957,Film,Japan
1324,Inuji ni Seshi Mono,en,,犬死にせしもの,1986,Film,Japan
1325,Irezumi: Spirit of Tattoo,en,,雪華葬刺し,1982,Film,Japan
1326,Jealousy,en,,嫉妬,1971,Film,Japan
1327,Late Autumn,en,,秋日和 [Akibiyori],1960,Film,Japan
1328,Madadayo,en,,まあだだよ,1993,Film,Japan
1329,Man Who Causes a Storm,en,,嵐を呼ぶ男 [Arashi o Yobu Otoko],1957,Film,Japan
1330,Manhunt,en,,君よ憤怒の河を渉れ,1976,Film,Japan
1331,Memories of You,en,,会社物語 [Kaisha monogatari],1988,Film,Japan
1332,Oración,es,,優駿,1988,Film,Japan
1333,Rashōmon,en,,羅生門,1950,Film,Japan
1334,Red Handkerchief,en,,赤いハンカチ,1964,Film,Japan
1335,Sea Otter Story,en,,ラッコ物語 [Rakko Mongoatari],1987,Film,Japan
1336,Season of the Sun,en,,太陽の季節,1956,Film,Japan
1337,Sensei,en,,せんせい,1989,Film,Japan
1338,Shanghai Rhapsody,en,,上海バンスキング,1984,Film,Japan
1339,Sun in the Last Days of the Shogunate,en,,幕末太陽傳 [Bakumatsu Taiyōden],1957,Film,Japan
1340,Take Me Out to Snowland,en,,私をスキーに連れてって,1987,Film,Japan
1341,The Call of the Foghorn,en,,霧笛が俺を呼んでいる [Mutekiga Ore o Yondeiru],1960,Film,Japan
1342,The Discarnates,en,,異人たちとの夏 [Ijin Tachi to no Natsu],1988,Film,Japan
1343,The Flying Luna Clipper,en,,ザ・フライング・ルナ・クリッパー,1987,Film,Japan
1344,The Great Department Store Robbery,en,,女咲かせます,1987,Film,Japan
1345,The Lovable Tramp,en,,なつかしい風来坊,1966,Film,Japan
1346,The Street of Desire,en,,彩り河,1984,Film,Japan
1347,The Yellow Handkerchief,en,,幸福の黄色いハンカチ [Shiawase no kiiroi hankachi],1977,Film,Japan
1348,The Yen Family,en,,木村家の人びと [Kimurake no Hitobito],1988,Film,Japan
1349,Tora-san 1: It's Tough Being a Man,en,,男はつらいよ [Otoko wa Tsurai yo],1969,Film,Japan
1350,Tora-san 2: Tora-san's Cherished Mother,en,,続・男はつらいよ [Zoku Otoko wa Tsurai yo],1969,Film,Japan
1351,"Tora-san 3: Tora-san, His Tender Love",en,,男はつらいよ フーテンの寅 [Otoko wa Tsurai yo: Fuuten no Tora],1970,Film,Japan
1352,Tora-san 4: Tora-san's Grand Scheme,en,,新・男はつらいよ [Shin Otoko wa Tsurai yo],1970,Film,Japan
1353,Tora-san 5: Tora-san's Runaway,en,,男はつらいよ 望郷篇 [Otoko wa Tsurai yo: Bōkyō hen],1970,Film,Japan
1354,Vampire Hunter D,en,,,1985,Film,Japan
1355,Where Spring Comes Late,en,,家族 [Kazoku],1970,Film,Japan
1356,Wicked City,en,,妖獣都市,1987,Film,Japan
1357,Be-Bop High School,en,,ビー・バップ・ハイスクール,1983,Film,Japan
1358,Crystal Triangle,en,,,1987,Film,Japan
1359,Original Sin,en,,死んでもいい,1992,Film,Japan
1360,Solomon King,en,,,1974,Film,
1361,9½ Weeks,en,,,1986,Film,
1362,A View to a Kill [2 UK editions],en,,,1985,Film,
1363,Absence of Malice,en,,,1981,Film,US
1364,Aliens,en,,,1986,Film,
1365,Altered States,en,,,1980,Film,
1366,Asterix the Gaul,en,,,1967,Film,
1367,Barry McKenzie Holds His Own,en,,,1974,Film,
1368,Bill: On His Own,en,,,1983,Film,
1369,Bugs Bunny,en,,,,Film,
1370,Care Bears to the Rescue,en,,,,Film,
1371,Choose Me,en,,,1984,Film,
1372,Cocoon,en,,,1985,Film,
1373,Commando,en,,,1985,Film,
1374,Confessions of a Married Man,en,,,1983,Film,
1375,Desperately Seeking Susan,en,,,1985,Film,
1376,Diamonds are Forever,en,,,1971,Film,
1377,Frantic,en,,,1988,Film,
1378,Garfield on the Town,en,,,1983,Film,
1379,Gorillas in the Mist,en,,,1988,Film,
1380,"Greystoke: The Legend of Tarzan, Lord of the Apes",en,,,1984,Film,
1381,Jewel of the Nile,en,,,1985,Film,
1382,Key Largo,en,,,1948,Film,
1383,Little Shop of Horrors,en,,,1986,Film,
1384,Look Who's Talking,en,,,1989,Film,
1385,Misunderstood,en,,,1984,Film,
1386,Nadia,en,,,1984,Film,
1387,Outland,en,,,1981,Film,
1388,Return of the Jedi,en,,,1983,Film,
1389,The Big Easy,en,,,1986,Film,
1390,The Big Sleep,en,,,1946,Film,
1391,The Freedom Force [cartoon],en,,,,Film,
1392,The Lady From Yesterday,en,,,1985,Film,
1393,The Maltese Falcon,en,,,1941,Film,
1394,The Postman Always Rings Twice,en,,,1981,Film,
1395,The Purple Rose of Cairo,en,,,1985,Film,
1396,The Woman in Red,en,,,1984,Film,
1397,Troll,en,,,1986,Film,
1398,Twilight Zone: The Movie,en,,,1983,Film,
1399,Who Will Love My Children?,en,,,1983,Film,
1400,Masters of the Universe,en,,,1987,Film,
1401,An Occurrence at Owl Creek Bridge,en,,,1961,Film,
1402,Battleship Potemkin,en,,,1925,Film,
1403,Best of Betty Boop,en,,,1935,Film,
1404,"Cartoon Classics in Color, No. 3",en,,,1943,Film,
1405,"Cartoon Classics in Color, No. 4",en,,,1948,Film,
1406,"Cartoon Classics, No. 1: Looney Tunes & Merrie Melodies",en,,,1933,Film,
1407,"Cartoon Classics, No. 6: Early Animation",en,,,1914,Film,
1408,"Cartoon Classics, No. 8",en,,,1991,Film,
1409,"Cartoon Classics, No. 9",en,,,1990,Film,
1410,College [Buster Keaton],en,,,1927,Film,
1411,Cyrano de Bergerac,en,,,1950,Film,
1412,Diabolique,en,,,1955,Film,
1413,Ecstasy,en,,,1933,Film,
1414,Go! Go! Go! World,en,,,1966,Film,
1415,Goodyear Jazz Concert with Bobby Hackett,en,,,,Film,
1416,Goodyear Jazz Concert with Duke Ellington,en,,,,Film,
1417,Hiroshima Mon Amour,en,,,1959,Film,
1418,It's a Wonderful Life,en,,,1946,Film,
1419,"Ivan the Terrible, Part II",en,,,1946,Film,
1420,Night of the Living Dead,en,,,1968,Film,
1421,Open City,en,,,1945,Film,
1422,Orpheus,en,,,1949,Film,
1423,Sabotage [Alfred Hitchcock],en,,,1936,Film,
1424,Ten Days that Shook the World,en,,,1927,Film,
1425,The 39 Steps,en,,,1935,Film,
1426,The Blue Angel,en,,,1930,Film,
1427,The Cabinet of Dr Caligari,en,,,1920,Film,
1428,The Day Will Dawn,en,,,1942,Film,
1429,The Death Kiss,en,,,1933,Film,
1430,The Grand Illusion,en,,,1937,Film,
1431,The Human Beast (La Bete Humaine),en,,,1938,Film,
1432,The Rules of the Game,en,,,1939,Film,
1433,The Seventh Seal,en,,,1957,Film,
1434,The Tall Blond Man with One Black Shoe,en,,,1972,Film,
1435,The Three Stooges,en,,,,Film,
1436,The Young And the Damned,en,,,1950,Film,
1437,Une Femme Mariée [The Married Woman],fr,,,1964,Film,
1438,Blood and Sand,en,,,1922,Film,
1439,Colossus and the Amazon Queen,en,,,1964,Film,
1440,Cotton Queen,en,,,1937,Film,
1441,Crimson Romance,en,,,1934,Film,
1442,Dancing Man,en,,,1934,Film,
1443,Devil on Horseback,en,,,1954,Film,
1444,Dr. Christian Meets the Women,en,,,1940,Film,
1445,Elevator to the Gallows,en,,,1958,Film,
1446,The Silent Enemy,en,,,1930,Film,
1447,Yojimbo,en,,,1961,Film,
1448,8 Heads in a Duffel Bag,en,,,1997,Film,
1449,A Family Thing,en,,,1996,Film,
1450,A Time to Kill,en,,,1996,Film,
1451,After the Sunset,en,,,2004,Film,
1452,Along Came Polly,en,,,2004,Film,
1453,Amistad,en,,,1997,Film,
1454,Arlington Road,en,,,1999,Film,
1455,As Good As It Gets,en,,,1997,Film,
1456,Bad Boys,en,,,1995,Film,
1457,Barbarians at the Gate,en,,,1993,Film,
1458,Beyond the Sea,en,,,2004,Film,
1459,Billboards (The Joffrey Ballet),en,,,1993,Film,
1460,Blown Away,en,,,1994,Film,
1461,Blue Streak,en,,,1999,Film,
1462,Broken Arrow,en,,,1996,Film,
1463,Canadian Bacon,en,,,1995,Film,
1464,Cop Land,en,,,1997,Film,
1465,Copycat,en,,,1995,Film,
1466,Courage Under Fire,en,,,1996,Film,
1467,Cry Freedom,en,,,1987,Film,
1468,Dangerous Minds [Espirts Rebelles],en,,,1995,Film,
1469,Daylight,en,,,1996,Film,
1470,Diabolique,en,,,1996,Film,
1471,Dolores Claiborne,en,,,1995,Film,
1472,Dragonheart [Couer de Dragon],en,,,1996,Film,
1473,Eddie,en,,,1996,Film,
1474,Erin Brockovich,en,,,2000,Film,
1475,Father of the Bride II,en,,,1995,Film,
1476,Fever Pitch,en,,,2004,Film,
1477,Fierce Creatures,en,,,1997,Film,
1478,Firestorm,en,,,1998,Film,
1479,First Kid,en,,,1996,Film,
1480,Forget Paris,en,,,1995,Film,
1481,Get Shorty [Stars et Truands],en,,,1995,Film,
1482,Harriet the Spy,en,,,1996,Film,
1483,Homeward Bound II,en,,,1996,Film,
1484,In the Bleak Midwinter [A Midwinter’s Tale],en,,,1995,Film,
1485,Isn't She Great,en,,,2000,Film,
1486,It Runs in the Family [My Summer Story],en,,,1994,Film,
1487,Jumanji,en,,,1995,Film,
1488,Jurassic Park,en,,,1993,Film,
1489,Laws of Attraction,en,,,2004,Film,
1490,Lemony Snicket's A Series of Unfortunate Events,en,,,2004,Film,
1491,Life is Beautiful,en,,,1997,Film,
1492,Lost and Found,en,,,1999,Film,
1493,Michael,en,,,1996,Film,
1494,Miss Congeniality 2,en,,,2005,Film,
1495,Mission Impossible,en,,,1996,Film,
1496,Moonlight & Valentino,en,,,1995,Film,
1497,Multiplicity,en,,,1996,Film,
1498,National Treasure,en,,,2004,Film,
1499,Noel,en,,,2004,Film,
1500,Ocean's Twelve,en,,,2004,Film,
1501,Out of Sight,en,,,1998,Film,
1502,Phenomenon,en,,,1996,Film,
1503,Racing Stripes,en,,,2004,Film,
1504,Raise Your Voice,en,,,2004,Film,
1505,Ransom,en,,,1996,Film,
1506,Scarlet Letter,en,,,1995,Film,
1507,Shall We Dance,en,,,2004,Film,
1508,She's the One,en,,,1996,Film,
1509,Spanglish,en,,,2004,Film,
1510,"The Adventures of Priscilla, Queen of the Desert",en,,,1994,Film,
1511,The Broken Heart Club,en,,,2000,Film,
1512,The First Wives Club [Le Club Des Ex],en,,,1996,Film,
1513,The Ghost and the Darkness,en,,,1996,Film,
1514,The Incredibles,en,,,2004,Film,
1515,The Preacher's Wife,en,,,1996,Film,
1516,The Princess Diaries 2,en,,,2004,Film,
1517,The Rainmaker,en,,,1997,Film,
1518,The Replacement Killers,en,,,1998,Film,
1519,The Wedding Date,en,,,2004,Film,
1520,Twilight,en,,,1998,Film,
1521,Twister,en,,,1996,Film,
1522,What's Love Got To Do With It,en,,,1993,Film,
1523,Wimbledon,en,,,2004,Film,
1524,With Honors,en,,,1994,Film,
1525,Memento,en,,,2000,Film,
1526,Master & Commander,en,,,2003,Film,
1527,The Day After Tomorrow,en,,,2004,Film,
1528,Shallow Hall,en,,,2001,Film,
1529,Terminator 3,en,,,2003,Film,
1530,Super Size me,en,,,2004,Film,
1531,The Hunted,en,,,2003,Film,
1532,Vanilla Sky,en,,,2001,Film,
1533,102 Dalmatians,en,,,2000,Film,
1534,Madison,en,,,2001,Film,
1535,The Chronicles of Riddick,en,,,2004,Film,
1536,The Interpreter,en,,,2005,Film,
1537,Ray,en,,,2004,Film,
1538,The Prince & Me,en,,,2004,Film,
1539,Runaway Jury,en,,,2003,Film,
1540,13 Going On 30,en,,,2004,Film,
