id,title_original,title_original_lang,title_en,title_ja,year_made,content_type,country_origin
327,Roman Holiday,en,,,1953,Film,
328,Rover Dangerfield,en,,,1991,Film,
329,Roxanne,en,,,1987,Film,
330,Rudy,en,,,1993,Film,
331,Running on Empty,en,,,1988,Film,
332,Saving Grace,en,,,1986,Film,
333,Screamers,en,,,1995,Film,
334,Scrooged,en,,,1988,Film,
335,Searching for Bobby Fischer,en,,,1993,Film,
336,"See No Evil, Hear No Evil",en,,,1989,Film,
337,Sense and Sensibility,en,,,1995,Film,
338,Seven Brides for Seven Brothers,en,,,1954,Film,
339,"Sex, Lies, and Videotape",en,,,1989,Film,
340,Shattered,en,,,1991,Film,
341,She's Having a Baby,en,,,1988,Film,
342,She's Out of Control,en,,,1989,Film,
343,Shirley Temple's Baby Burlesks,en,,,1932,Film,
344,Shirley Valentine,en,,,1989,Film,
345,Showdown in Little Tokyo,en,,,1991,Film,
346,Sibling Rivalry,en,,,1990,Film,
347,Silent Rage,en,,,1982,Film,
348,Single White Female,en,,,1992,Film,
349,Sleepless in Seattle,en,,,1993,Film,
350,Sleepwalkers,en,,,1992,Film,
351,Sliver,en,,,1993,Film,
352,So I Married An Axe Murderer,en,,,1993,Film,
353,Soap Dish,en,,,1991,Film,
354,Sommersby,en,,,1993,Film,
355,Splash,en,,,1984,Film,
356,Split Decisions,en,,,1988,Film,
357,Stakeout,en,,,1987,Film,
358,Stand and Deliver,en,,,1988,Film,
359,Stand By Me,en,,,1986,Film,
360,Star Trek Generations,en,,,1994,Film,
361,Star Trek II: The Wrath of Khan,en,,,1982,Film,
362,Star Trek III: The Search for Spock,en,,,1984,Film,
363,Star Trek IV: The Voyage Home,en,,,1986,Film,
364,Star Trek V: The Final Frontier,en,,,1989,Film,
365,Star Trek VI: The Undiscovered Country,en,,,1991,Film,
366,Starman,en,,,1984,Film,
367,Steel Magnolias,en,,,1989,Film,
368,Stepping Out,en,,,1991,Film,
369,Stone Cold,en,,,1991,Film,
370,Stormy Monday,en,,,1988,Film,
371,Striking Distance,en,,,1993,Film,
372,Sudden Impact,en,,,1983,Film,
373,Summer Rental,en,,,1985,Film,
374,Suspect,en,,,1987,Film,
375,Switch,en,,,1991,Film,
376,Taking Care of Business,en,,,1990,Film,
377,Talent for the Game,en,,,1991,Film,
378,Tango and Cash,en,,,1989,Film,
379,Taxi Driver,en,,,1976,Film,
380,Teen Wolf,en,,,1985,Film,
381,Teenage Mutant Ninja Turtles,en,,,1990,Film,
382,Teenage Mutant Ninja Turtles II: The Secret of the Ooze,en,,,,Film,
383,Tequila Sunrise,en,,,1988,Film,
384,Terminator 2: Judgment Day,en,,,1991,Film,
385,Terms of Endearment,en,,,1983,Film,
386,Texasville,en,,,1990,Film,
387,The Accidental Tourist,en,,,1988,Film,
388,The Accused,en,,,1988,Film,
389,The Addams Family,en,,,1991,Film,
390,The Adventures of Baron Munchausen,en,,,1988,Film,
391,The Age of Innocence,en,,,1993,Film,
392,The Appointment,en,,,1981,Film,
393,The Bad News Bears,en,,,1976,Film,
394,The Best of Times,en,,,1986,Film,
395,The Big Chill,en,,,1983,Film,
396,The Bodyguard,en,,,1992,Film,
397,The Bonfire of the Vanities,en,,,1990,Film,
398,The Brady Bunch Movie,en,,,1995,Film,
399,The Butcher's Wife,en,,,1991,Film,
400,The Cable Guy,en,,,1996,Film,
401,The Caine Mutiny,en,,,1954,Film,
402,The Client,en,,,1994,Film,
403,The Cotton Club,en,,,1984,Film,
404,The Craft,en,,,1996,Film,
405,The Crying Game,en,,,1991,Film,
406,The Dead Pool,en,,,1988,Film,
407,The Dirt Bike Kid,en,,,1985,Film,
408,The Doctor,en,,,1991,Film,
409,The Doors,en,,,1991,Film,
410,The Emerald Forest,en,,,1985,Film,
411,The Evil That Men Do,en,,,1984,Film,
412,The Experts,en,,,1989,Film,
413,The Fabulous Baker Boys,en,,,1989,Film,
414,The Firm,en,,,1993,Film,
415,The First Power,en,,,1990,Film,
416,The Fisher King,en,,,1991,Film,
417,The Fog,en,,,1980,Film,
418,The Freshman,en,,,1990,Film,
419,The Fugitive,en,,,1993,Film,
420,The Godfather,en,,,1972,Film,
421,The Godfather Part II,en,,,1974,Film,
422,The Godfather: Part III,en,,,1990,Film,
423,The Golden Child,en,,,1986,Film,
424,The Golden Seal,en,,,1983,Film,
425,The Gospel According to St. Matthew,en,,,1964,Film,
426,The Graduate,en,,,1967,Film,
427,The Great Santini,en,,,1979,Film,
428,The Hitman,en,,,1991,Film,
429,The Hobbit,en,,,1977,Film,
430,The Hunt for Red October,en,,,1990,Film,
431,The Indian in the Cupboard,en,,,1995,Film,
432,The Inner Circle,en,,,1991,Film,
433,The Jazz Singer,en,,,1980,Film,
434,The Jigsaw Man,en,,,1983,Film,
435,The Juror,en,,,1996,Film,
436,The Karate Kid,en,,,1984,Film,
437,The Karate Kid Part II,en,,,1986,Film,
438,The Karate Kid Part III,en,,,1989,Film,
439,The Krays,en,,,1990,Film,
440,The Last Emperor,en,,,1987,Film,
441,The Last Picture Show,en,,,1971,Film,
442,The Little Mermaid,en,,,1989,Film,
443,The Lost Boys,en,,,1987,Film,
444,The Mambo Kings,en,,,1992,Film,
445,The Mission,en,,,1986,Film,
446,The Moderns,en,,,1988,Film,
447,The Naked Gun 2 1/2: The Smell of Fear,en,,,1991,Film,
448,The Naked Gun: From the Files of Police Squad!,en,,,1988,Film,
449,The Net,en,,,1995,Film,
450,The NeverEnding Story,en,,,1984,Film,
451,The NeverEnding Story II: The Next Chapter,en,,,1990,Film,
452,The Nutcracker Prince,en,,,1990,Film,
453,The Pelican Brief,en,,,1993,Film,
454,The Perfect Weapon,en,,,1991,Film,
455,The Piano,en,,,1993,Film,
456,The Pink Panther,en,,,1963,Film,
457,The Presidio,en,,,1988,Film,
458,The Prince of Tides,en,,,1991,Film,
459,The Princess Bride,en,,,1987,Film,
460,The Producers,en,,,1967,Film,
461,The Remains of the Day,en,,,1993,Film,
462,The Rookie,en,,,1990,Film,
463,The Russia House,en,,,1990,Film,
464,The Secret of NIMH,en,,,1982,Film,
465,The Snowman,en,,,1982,Film,
466,The Southerner,en,,,1945,Film,
467,The Sure Thing,en,,,1985,Film,
468,The Temp,en,,,1993,Film,
469,The Thing Called Love,en,,,1993,Film,
470,The Time Guardian,en,,,1987,Film,
471,The Toy,en,,,1982,Film,
472,The Trip to Bountiful,en,,,1985,Film,
473,The Two Jakes,en,,,1990,Film,
474,The Untouchables,en,,,1987,Film,
